tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2024-W-ITF-ARG-02A-2024,W35 Buenos Aires,Clay,48,35,20240122,204,211809,6,,Daria Lodikova,R,,RUS,27.6,260708,,WC,Justina Maria Gonzalez Daniele,U,,ARG,,7-5 2-6 6-0,3,R32,,,,,,,,,,,,,,,,,,,,347,186,1118,12
2024-W-ITF-ARG-02A-2024,W35 Buenos Aires,Clay,48,35,20240122,205,204419,3,,Ana Sofia Sanchez,L,,MEX,29.7,213849,,SR,Nicole Fossa Huergo,U,,ITA,28.6,6-4 6-1,3,R32,,,,,,,,,,,,,,,,,,,,297,231,671,57
2024-W-ITF-ARG-02A-2024,W35 Buenos Aires,Clay,48,35,20240122,206,211965,13,,Jasmin Jebawy,U,,GER,27.2,260709,,,Sol Ailin Larraya Guidi,R,,ARG,15.9,6-0 6-7(4) 7-5,3,R32,,,,,,,,,,,,,,,,,,,,566,81,915,24
2024-W-ITF-ARG-02A-2024,W35 Buenos Aires,Clay,48,35,20240122,207,211921,10,,Julieta Lara Estable,R,,ARG,26.5,220578,,Q,Julia Konishi Camargo Silva,U,,BRA,23.9,6-1 6-1,3,R32,,,,,,,,,,,,,,,,,,,,505,103,927,23
2024-W-ITF-ARG-02A-2024,W35 Buenos Aires,Clay,48,35,20240122,208,220446,,,Jazmin Ortenzi,R,,ARG,22.1,211222,5,,Jamie Loeb,R,168,USA,28.8,6-2 6-7(8) 7-6(5),3,R32,,,,,,,,,,,,,,,,,,,,762,42,341,192
2024-W-ITF-ARG-02A-2024,W35 Buenos Aires,Clay,48,35,20240122,209,210847,8,,Miriana Tona,U,,ITA,29.0,219663,,,Lauren Proctor,U,,USA,27.0,6-4 6-3,3,R32,,,,,,,,,,,,,,,,,,,,388,159,838,32
2024-W-ITF-ARG-02A-2024,W35 Buenos Aires,Clay,48,35,20240122,210,214254,12,,Alice Rame,R,,FRA,26.2,206345,,WC,Victoria Bosio,R,,ARG,29.3,3-6 6-4 6-1,3,R32,,,,,,,,,,,,,,,,,,,,531,92,985,18
2024-W-ITF-ARG-02A-2024,W35 Buenos Aires,Clay,48,35,20240122,211,222859,15,,Maria Sara Popa,L,,ROU,18.4,220684,,Q,Jimar Geraldine Gerald Gonzalez,R,,CHI,22.0,6-1 6-3,3,R32,,,,,,,,,,,,,,,,,,,,603,73,1182,10
2024-W-ITF-ARG-02A-2024,W35 Buenos Aires,Clay,48,35,20240122,212,206430,4,,Carolina Alves,U,,BRA,27.7,216075,,Q,Jessica Bertoldo,U,,ITA,31.3,6-4 6-2,3,R32,,,,,,,,,,,,,,,,,,,,303,226,1062,14
2024-W-ITF-ARG-02A-2024,W35 Buenos Aires,Clay,48,35,20240122,213,206194,7,,Gabriela Ce,L,,BRA,30.8,220351,,,Luiza Fullana,U,,BRA,22.7,6-2 6-2,3,R32,,,,,,,,,,,,,,,,,,,,385,161,897,26
